creator_id,creator_name,category,followers,videos_this_month,follower_growth_rate,avg_views_per_video,engagement_rate,reject_rate,tier
CR055,Kiên Makeup 43,Ẩm thực,203958,64,0.28%,30503,5.53%,9.42%,Tier 1
CR056,Nam Official 26,Thời trang & Làm đẹp,2931947,113,-0.91%,276399,5.44%,62.20%,Tier 1
CR057,Kiên Review 77,Giải trí,56760,62,5.43%,16794,5.05%,16.87%,Tier 2
CR058,Trang Makeup 67,Công nghệ,38561,44,16.78%,11120,3.09%,22.39%,Tier 3
CR059,An Tv 65,Công nghệ,15390,35,10.83%,5285,11.02%,14.51%,Tier 3
CR060,Minh Tv 51,Thời trang & Làm đẹp,14420,27,-4.60%,2588,11.72%,26.28%,Tier 3
CR061,Bình Channel 93,Du lịch & Đời sống,42676,40,-0.78%,7277,10.96%,18.43%,Tier 3
CR062,Tuấn Tv 41,Giải trí,65439,40,8.61%,5716,5.80%,17.37%,Tier 2
CR063,Bình Review 74,Giải trí,1414,22,-5.14%,200,7.41%,6.58%,Mass
CR064,An Channel 47,Giải trí,35529,39,14.77%,4290,6.28%,12.77%,Tier 3
CR065,Minh Studio 60,Công nghệ,10886,46,11.94%,3359,1.56%,11.49%,Tier 3
CR066,Tuấn Studio 22,Giải trí,13106,21,20.75%,2113,3.18%,18.69%,Tier 3
CR067,Quỳnh Studio 20,Giáo dục & Kiến thức,778138,88,21.90%,137709,10.73%,55.12%,Tier 1
CR068,An Food 18,Du lịch & Đời sống,16692,35,-1.30%,751,2.90%,18.31%,Tier 3
CR069,Kiều Official 96,Du lịch & Đời sống,32895,53,17.04%,1803,8.81%,9.27%,Tier 3
CR070,Linh Food 51,Ẩm thực,29636,54,13.52%,4303,7.32%,29.37%,Tier 3
CR071,Hà Beauty 16,Giáo dục & Kiến thức,11856,19,6.65%,2167,2.01%,8.75%,Tier 3
CR072,An Channel 58,Giáo dục & Kiến thức,91052,77,22.56%,13216,3.60%,19.41%,Tier 2
CR073,Minh Makeup 33,Ẩm thực,37009,55,18.80%,2096,6.14%,28.42%,Tier 3
CR074,Bình Tips 26,Thời trang & Làm đẹp,16156,47,13.71%,1752,8.79%,21.00%,Tier 3
CR075,Minh Official 12,Ẩm thực,1088784,64,-3.91%,215016,11.77%,45.01%,Tier 1
CR076,Tuấn Beauty 87,Du lịch & Đời sống,10297,33,-3.30%,2382,5.93%,11.87%,Tier 3
CR077,Kiều Tech 56,Ẩm thực,710826,113,14.25%,53023,10.37%,74.09%,Tier 1
CR078,Hoàng Food 34,Ẩm thực,19465,41,5.36%,1989,2.29%,26.65%,Tier 3
CR079,Linh Vlog 50,Công nghệ,49091,44,19.17%,3825,3.20%,6.77%,Tier 3
CR080,Kiều Beauty 96,Giáo dục & Kiến thức,30197,48,9.66%,2425,8.05%,19.95%,Tier 3
CR081,An Studio 89,Giáo dục & Kiến thức,2774713,72,-3.83%,206686,3.53%,79.02%,Tier 1
CR082,Linh Channel 54,Thời trang & Làm đẹp,38099,43,18.13%,8192,10.92%,15.19%,Tier 3
CR083,Đức Food 44,Ẩm thực,16590,49,-3.91%,2214,3.59%,3.81%,Tier 3
CR084,Trang Channel 17,Giáo dục & Kiến thức,7693,15,21.28%,200,9.25%,27.28%,Mass
CR085,Quỳnh Channel 96,Công nghệ,28831,28,1.70%,3997,3.65%,15.16%,Tier 3
CR086,Trang Tips 59,Giải trí,40978,18,9.08%,12564,3.27%,22.22%,Tier 3
CR087,Lan Channel 82,Công nghệ,21293,20,16.48%,4537,8.68%,2.94%,Tier 3
CR088,Hoàng Channel 30,Ẩm thực,12613,43,8.05%,2986,5.84%,7.92%,Tier 3
CR089,Linh Channel 25,Giải trí,2805,12,-1.56%,1261,10.85%,2.03%,Mass
CR090,Quỳnh Channel 10,Du lịch & Đời sống,90250,28,21.32%,10951,7.71%,1.33%,Tier 2
CR091,Hoàng Channel 20,Thời trang & Làm đẹp,32737,23,15.74%,4922,7.94%,25.61%,Tier 3
CR092,Trang Official 83,Giáo dục & Kiến thức,87884,80,22.00%,11976,9.65%,2.19%,Tier 2
CR093,Kiều Vlog 47,Thời trang & Làm đẹp,7691,12,4.68%,1111,5.05%,21.44%,Mass
CR094,Nam Beauty 14,Công nghệ,367406,21,8.14%,111660,5.68%,49.99%,Tier 2
CR095,Hà Makeup 25,Công nghệ,47499,55,12.54%,12773,7.93%,27.22%,Tier 3
CR096,Kiên Channel 41,Thời trang & Làm đẹp,86462,68,15.53%,26911,11.05%,4.91%,Tier 2
CR097,An Channel 84,Giải trí,10947,44,1.27%,1790,3.72%,2.63%,Tier 3
CR098,Đức Tips 37,Du lịch & Đời sống,2732269,8,22.42%,852108,1.83%,3.64%,Tier 2
CR099,Kiều Vlog 93,Giải trí,81311,65,16.94%,9740,5.81%,13.85%,Tier 2
CR100,Linh Studio 23,Giải trí,670207,15,-3.05%,48425,8.94%,25.52%,Tier 2
CR101,Minh Vlog 97,Giáo dục & Kiến thức,699399,66,5.68%,90056,10.98%,53.26%,Tier 1
CR102,Kiên Official 47,Giải trí,49152,41,10.02%,14573,6.71%,8.18%,Tier 3
CR103,Bình Food 87,Giải trí,1534672,63,17.11%,348021,2.02%,39.39%,Tier 1
CR104,Hà Makeup 78,Công nghệ,57164,30,1.76%,8684,8.68%,5.64%,Tier 2
CR105,Quỳnh Official 70,Du lịch & Đời sống,43030,45,-4.93%,12995,1.57%,6.33%,Tier 3
CR106,Trang Food 71,Thời trang & Làm đẹp,1883818,4,17.57%,138777,3.84%,20.93%,Tier 2
CR107,Hà Tv 91,Du lịch & Đời sống,5365,38,-4.67%,838,4.27%,29.30%,Mass
CR108,Quỳnh Makeup 77,Giáo dục & Kiến thức,86991,51,8.76%,24219,1.39%,11.78%,Tier 2
CR109,Kiều Tips 63,Thời trang & Làm đẹp,2358577,10,3.28%,380807,3.23%,9.62%,Tier 2
CR110,Quỳnh Tips 96,Giải trí,39977,51,-4.80%,11095,7.94%,12.47%,Tier 3
CR111,Minh Vlog 73,Giáo dục & Kiến thức,17853,42,6.43%,1478,8.77%,5.73%,Tier 3
CR112,Nam Makeup 10,Công nghệ,50717,44,-4.94%,12242,4.72%,2.96%,Tier 2
CR113,Đức Tv 86,Giáo dục & Kiến thức,1618568,41,14.63%,541655,7.40%,52.95%,Tier 2
CR114,Hà Food 45,Ẩm thực,31688,17,12.66%,6527,3.23%,23.38%,Tier 3
CR115,Hoàng Makeup 99,Giáo dục & Kiến thức,7748,54,11.93%,1477,8.40%,25.92%,Mass
CR116,Bình Makeup 39,Du lịch & Đời sống,38275,52,10.63%,5914,7.80%,12.04%,Tier 3
CR117,Tuấn Channel 14,Giáo dục & Kiến thức,26039,17,7.21%,8222,4.48%,18.02%,Tier 3
CR118,Minh Studio 64,Giáo dục & Kiến thức,61253,54,3.22%,19546,4.06%,11.55%,Tier 2
CR119,Nam Makeup 56,Ẩm thực,6204,31,17.17%,1647,10.72%,1.22%,Mass
CR120,Minh Studio 50,Giáo dục & Kiến thức,29792,52,18.19%,5952,6.20%,22.95%,Tier 3
CR121,Linh Beauty 18,Giải trí,1828009,90,1.68%,154219,4.76%,33.21%,Tier 1
CR122,Bình Vlog 43,Giải trí,168954,11,16.63%,25004,9.64%,14.21%,Tier 2
CR123,Nam Beauty 26,Du lịch & Đời sống,61912,31,0.37%,15679,5.33%,5.29%,Tier 2
CR124,Hoàng Makeup 66,Giải trí,809556,35,-5.07%,105002,8.41%,54.26%,Tier 2
CR125,Trang Tech 81,Ẩm thực,1191085,1,15.26%,327715,5.55%,23.89%,Tier 2
CR126,Quỳnh Studio 20,Du lịch & Đời sống,12446,49,15.95%,1447,1.37%,0.40%,Tier 3
CR127,Lan Beauty 80,Giáo dục & Kiến thức,29051,28,-0.41%,3048,11.46%,12.60%,Tier 3
CR128,Lan Tips 84,Công nghệ,39046,17,11.81%,7495,4.03%,22.65%,Tier 3
CR129,An Review 24,Thời trang & Làm đẹp,3797,32,2.82%,649,2.82%,21.85%,Mass
CR130,Hoàng Tips 18,Du lịch & Đời sống,63193,73,4.72%,13398,7.32%,18.49%,Tier 2
CR131,Đức Review 43,Giáo dục & Kiến thức,38370,23,15.27%,7274,2.34%,1.93%,Tier 3
CR132,Lan Tech 74,Công nghệ,23306,46,21.26%,3755,5.05%,16.40%,Tier 3
CR133,Minh Tv 90,Ẩm thực,40141,33,18.51%,14071,11.77%,29.72%,Tier 3
CR134,Trang Beauty 52,Thời trang & Làm đẹp,35798,44,21.88%,8730,5.04%,2.64%,Tier 3
CR135,Lan Channel 44,Du lịch & Đời sống,48927,23,-1.93%,16516,8.61%,8.02%,Tier 3
CR136,Hà Studio 34,Thời trang & Làm đẹp,28678,59,20.16%,2392,9.26%,16.50%,Tier 3
CR137,Lan Food 49,Công nghệ,3419,22,8.21%,375,5.85%,5.67%,Mass
CR138,Lan Food 57,Công nghệ,14901,34,-1.77%,1156,10.33%,0.58%,Tier 3
CR139,Lan Tips 55,Công nghệ,1711537,50,1.77%,292188,2.22%,57.37%,Tier 1
CR140,Nam Studio 79,Du lịch & Đời sống,3274852,56,21.71%,750391,2.19%,39.95%,Tier 1
CR141,Kiên Tech 41,Du lịch & Đời sống,84104,14,18.39%,20263,11.54%,7.92%,Tier 3
CR142,Kiên Tv 72,Công nghệ,31474,40,12.56%,6895,3.07%,13.86%,Tier 3
CR143,Tuấn Official 40,Giáo dục & Kiến thức,142432,7,12.68%,18219,10.74%,22.51%,Tier 2
CR144,An Tv 43,Giải trí,97122,33,5.29%,8957,7.43%,17.98%,Tier 2
CR145,Tuấn Tv 58,Ẩm thực,11817,25,14.22%,2983,8.80%,10.61%,Tier 3
CR146,Trang Tips 44,Ẩm thực,55457,60,10.16%,8513,7.13%,5.82%,Tier 2
CR147,Kiều Channel 33,Giáo dục & Kiến thức,50162,64,4.83%,6953,10.41%,0.09%,Tier 2
CR148,Đức Studio 14,Giải trí,38062,25,-5.16%,10864,6.77%,2.46%,Tier 3
CR149,An Tv 14,Công nghệ,95043,75,18.25%,28055,10.84%,14.25%,Tier 2
CR150,Bình Tv 37,Thời trang & Làm đẹp,2885773,64,20.94%,860390,7.15%,31.11%,Tier 1
CR151,Bình Official 19,Thời trang & Làm đẹp,65803,54,22.00%,9815,2.69%,17.90%,Tier 2
CR152,Đức Official 72,Giáo dục & Kiến thức,6268,3,19.45%,434,10.23%,15.85%,Mass
CR153,Lan Tips 43,Ẩm thực,94756,59,0.52%,27798,7.39%,3.35%,Tier 2
CR154,Linh Tech 74,Ẩm thực,13177,56,3.24%,2156,7.82%,5.42%,Tier 3
CR155,Kiên Studio 72,Du lịch & Đời sống,17933,30,22.36%,1144,8.91%,19.23%,Tier 3
CR156,Đức Official 34,Giáo dục & Kiến thức,46034,52,8.04%,2558,7.02%,20.12%,Tier 3
CR157,Nam Makeup 49,Thời trang & Làm đẹp,39410,17,20.08%,2409,7.28%,26.01%,Tier 3
CR158,An Beauty 35,Ẩm thực,3968,11,0.79%,354,3.72%,9.57%,Mass
CR159,Minh Tips 22,Ẩm thực,63299,65,0.14%,12687,5.38%,7.87%,Tier 2
CR160,Nam Tech 95,Công nghệ,47575,49,18.69%,6216,4.33%,1.03%,Tier 3
CR161,Tuấn Channel 88,Công nghệ,35184,24,14.23%,5203,4.15%,29.51%,Tier 3
CR162,Linh Vlog 58,Công nghệ,15154,51,14.22%,2495,3.12%,2.36%,Tier 3
CR163,Kiên Makeup 82,Du lịch & Đời sống,30617,54,19.74%,8693,4.35%,10.92%,Tier 3
CR164,Linh Beauty 61,Thời trang & Làm đẹp,3139661,98,7.43%,886385,8.31%,9.21%,Tier 1
CR165,Kiên Tips 94,Giáo dục & Kiến thức,40614,47,1.91%,5075,1.78%,29.65%,Tier 3
CR166,Quỳnh Tech 33,Thời trang & Làm đẹp,40978,60,7.25%,2510,2.98%,17.59%,Tier 3
CR167,Hà Makeup 62,Thời trang & Làm đẹp,54535,62,21.53%,5242,10.68%,12.72%,Tier 2
CR168,Tuấn Official 83,Du lịch & Đời sống,1843623,1,1.59%,466932,10.72%,14.20%,Tier 2
CR169,Nam Food 55,Giáo dục & Kiến thức,188542,19,12.65%,23322,4.72%,75.21%,Tier 2
CR170,Tuấn Review 34,Giải trí,44337,33,-4.49%,3424,7.24%,15.29%,Tier 3
CR171,Hoàng Tips 64,Thời trang & Làm đẹp,38096,57,4.45%,4925,4.27%,22.17%,Tier 3
CR172,Hoàng Tv 92,Giải trí,10778,60,14.17%,1974,5.96%,7.21%,Tier 3
CR173,Linh Studio 32,Du lịch & Đời sống,3041668,117,-1.63%,263197,4.52%,0.41%,Tier 1
CR174,Kiều Tv 40,Giáo dục & Kiến thức,78286,52,13.89%,13485,8.37%,14.78%,Tier 2
CR175,Kiều Official 36,Thời trang & Làm đẹp,1089720,2,20.50%,351486,7.54%,28.75%,Tier 2
CR176,Kiên Tips 84,Thời trang & Làm đẹp,12156,52,15.11%,4129,2.04%,28.98%,Tier 3
CR177,Bình Tv 51,Công nghệ,3083,8,11.39%,339,11.11%,26.30%,Mass
CR178,Kiên Vlog 22,Du lịch & Đời sống,10409,21,15.84%,2131,11.75%,1.69%,Tier 3
CR179,Đức Food 21,Ẩm thực,29400,57,9.91%,9162,7.78%,11.36%,Tier 3
CR180,Nam Makeup 35,Thời trang & Làm đẹp,49531,43,4.99%,5115,7.34%,22.44%,Tier 3
CR181,Kiên Makeup 17,Thời trang & Làm đẹp,3229329,67,21.82%,705729,4.11%,53.05%,Tier 1
CR182,Nam Official 77,Du lịch & Đời sống,1973296,107,18.21%,687682,7.72%,4.81%,Tier 1
CR183,Minh Tips 57,Thời trang & Làm đẹp,25420,50,9.08%,2385,10.79%,9.91%,Tier 3
CR184,Đức Official 72,Ẩm thực,48195,40,-0.69%,12123,1.52%,8.25%,Tier 3
CR185,Hoàng Beauty 86,Giáo dục & Kiến thức,16658,25,4.39%,2896,3.79%,13.39%,Tier 3
CR186,Nam Makeup 43,Ẩm thực,28365,60,20.54%,3914,2.51%,7.76%,Tier 3
CR187,Đức Vlog 50,Du lịch & Đời sống,1938248,2,11.75%,590151,6.98%,3.43%,Tier 2
CR188,Kiều Food 61,Thời trang & Làm đẹp,935092,5,17.71%,138948,2.35%,10.62%,Tier 2
CR189,An Tv 10,Giáo dục & Kiến thức,45621,43,-3.12%,13539,11.77%,6.50%,Tier 3
CR190,Minh Channel 71,Du lịch & Đời sống,39020,49,-4.27%,8306,6.95%,19.53%,Tier 3
CR191,Linh Channel 71,Giáo dục & Kiến thức,82711,38,-4.69%,10556,3.83%,10.70%,Tier 2
CR192,Trang Tv 83,Giáo dục & Kiến thức,10569,53,10.88%,2341,10.28%,26.55%,Tier 3
CR193,An Makeup 36,Công nghệ,23281,24,9.54%,4255,8.09%,24.21%,Tier 3
CR194,Hoàng Tv 20,Ẩm thực,23607,23,2.71%,4471,6.39%,13.50%,Tier 3
CR195,Quỳnh Official 92,Giáo dục & Kiến thức,46253,46,-1.46%,14473,4.98%,10.26%,Tier 3
CR196,Quỳnh Vlog 17,Ẩm thực,39736,56,4.84%,6963,1.81%,7.26%,Tier 3
CR197,Hoàng Tv 90,Du lịch & Đời sống,71388,78,-5.02%,13496,11.86%,17.59%,Tier 2
CR198,Quỳnh Review 52,Công nghệ,42994,38,22.19%,13147,6.57%,18.67%,Tier 3
CR199,Kiều Studio 41,Thời trang & Làm đẹp,60606,39,17.35%,9152,11.53%,18.37%,Tier 2
CR200,Linh Makeup 23,Ẩm thực,67447,51,3.24%,20884,2.67%,3.01%,Tier 2
CR201,Nam Tips 98,Giải trí,593144,1,-2.80%,115733,9.19%,11.19%,Tier 2
CR202,Bình Vlog 86,Ẩm thực,87581,51,18.83%,9279,9.81%,8.99%,Tier 2
CR203,Bình Tech 47,Công nghệ,21367,44,7.82%,4039,10.92%,21.98%,Tier 3
CR204,Linh Review 18,Giáo dục & Kiến thức,42580,48,-4.67%,6001,6.17%,11.84%,Tier 3
CR205,Kiên Food 68,Giáo dục & Kiến thức,20490,46,0.29%,4891,5.74%,20.18%,Tier 3
CR206,Minh Studio 12,Ẩm thực,31699,18,14.17%,6985,9.17%,18.00%,Tier 3
CR207,Lan Studio 16,Giáo dục & Kiến thức,48990,30,8.34%,3171,1.51%,18.74%,Tier 3
CR208,Tuấn Studio 37,Thời trang & Làm đẹp,28317,49,22.21%,2369,2.71%,6.02%,Tier 3
CR209,Trang Makeup 38,Giáo dục & Kiến thức,49899,47,8.01%,6625,6.26%,7.45%,Tier 3
CR210,Lan Food 38,Công nghệ,31696,42,19.05%,10786,7.68%,0.55%,Tier 3
CR211,Linh Beauty 79,Giáo dục & Kiến thức,85921,53,5.38%,13817,2.98%,2.12%,Tier 2
CR212,Đức Vlog 40,Du lịch & Đời sống,11530,46,9.83%,2591,10.89%,25.21%,Tier 3
CR213,Bình Tech 81,Du lịch & Đời sống,42445,53,9.98%,10413,6.63%,7.86%,Tier 3
CR214,Hoàng Studio 22,Giải trí,45029,37,22.30%,14932,11.39%,2.24%,Tier 3
CR215,Hà Studio 77,Giải trí,21104,24,8.91%,4024,8.52%,8.58%,Tier 3
CR216,Kiên Beauty 92,Du lịch & Đời sống,22734,24,11.77%,2517,10.43%,6.95%,Tier 3
CR217,An Channel 54,Giáo dục & Kiến thức,27264,24,6.13%,6571,3.77%,26.83%,Tier 3
CR218,Lan Tech 59,Giáo dục & Kiến thức,77172,59,16.53%,6470,7.48%,16.33%,Tier 2
CR219,Kiều Beauty 19,Giáo dục & Kiến thức,91805,47,17.10%,13665,8.46%,16.58%,Tier 2
CR220,Đức Makeup 47,Du lịch & Đời sống,68616,73,3.32%,15215,6.48%,17.80%,Tier 2
CR221,Lan Studio 11,Giải trí,75015,47,12.52%,4342,4.39%,8.83%,Tier 2
CR222,Trang Food 55,Công nghệ,283786,11,13.95%,22783,1.81%,11.56%,Tier 2
CR223,Hà Food 80,Thời trang & Làm đẹp,11982,60,15.46%,973,10.43%,17.81%,Tier 3
CR224,Kiều Food 85,Du lịch & Đời sống,2357404,62,-3.46%,307414,2.53%,3.38%,Tier 1
CR225,Kiên Tv 55,Giáo dục & Kiến thức,62869,44,5.48%,9792,2.64%,5.20%,Tier 2
CR226,Quỳnh Channel 66,Ẩm thực,35077,16,5.90%,12518,2.61%,11.55%,Tier 3
CR227,Trang Studio 34,Thời trang & Làm đẹp,91723,102,1.83%,17397,7.99%,42.33%,Tier 2
CR228,Quỳnh Tips 81,Giáo dục & Kiến thức,2589168,96,8.01%,469144,6.13%,0.09%,Tier 1
CR229,Đức Beauty 84,Thời trang & Làm đẹp,66905,28,7.64%,15356,5.00%,12.86%,Tier 2
CR230,Kiên Vlog 77,Giáo dục & Kiến thức,15656,54,-3.38%,701,6.95%,25.10%,Tier 3
CR231,An Vlog 96,Du lịch & Đời sống,28801,51,17.65%,5477,3.84%,28.94%,Tier 3
CR232,Kiên Official 92,Công nghệ,5900,24,22.50%,1458,9.50%,8.79%,Mass
CR233,Trang Review 38,Ẩm thực,919202,95,11.12%,66221,5.91%,5.83%,Tier 1
CR234,Hà Tips 40,Ẩm thực,1772453,89,9.29%,233654,5.78%,3.40%,Tier 1
CR235,Tuấn Tips 54,Thời trang & Làm đẹp,28762,17,4.39%,4239,5.52%,9.35%,Tier 3
CR236,Trang Beauty 55,Giáo dục & Kiến thức,799205,7,-2.86%,134885,1.95%,14.36%,Tier 2
CR237,Nam Tv 37,Du lịch & Đời sống,18759,52,12.88%,1560,9.39%,19.62%,Tier 3
CR238,An Tv 56,Công nghệ,66226,57,11.44%,18975,3.11%,10.06%,Tier 2
CR239,Đức Review 44,Giải trí,911406,90,22.65%,134029,7.76%,33.61%,Tier 1
CR240,Nam Vlog 15,Thời trang & Làm đẹp,13445,29,0.80%,2498,9.14%,5.80%,Tier 3
CR241,Quỳnh Channel 20,Công nghệ,46853,55,11.36%,9802,10.08%,20.44%,Tier 3
CR242,Bình Food 20,Thời trang & Làm đẹp,2376452,83,-0.24%,668790,4.47%,8.99%,Tier 1
CR243,Trang Official 93,Du lịch & Đời sống,37191,59,10.54%,9881,3.86%,2.75%,Tier 3
CR244,Đức Tips 80,Giải trí,37566,47,3.70%,10872,1.91%,3.85%,Tier 3
CR245,Hoàng Food 99,Giáo dục & Kiến thức,2307943,95,3.20%,433409,4.32%,4.37%,Tier 1
CR246,An Tv 69,Giải trí,2717,42,3.90%,507,6.66%,15.79%,Mass
CR247,Linh Tips 64,Giáo dục & Kiến thức,38228,52,-4.13%,8606,2.24%,16.93%,Tier 3
CR248,Đức Studio 13,Thời trang & Làm đẹp,2821577,116,-3.20%,677986,7.85%,9.81%,Tier 1
CR249,Trang Official 53,Thời trang & Làm đẹp,20689,56,-1.22%,5355,8.19%,22.38%,Tier 3
CR250,An Makeup 18,Giáo dục & Kiến thức,43233,29,22.54%,6121,3.05%,13.78%,Tier 3
CR251,Hà Studio 60,Thời trang & Làm đẹp,668603,85,-4.00%,223624,5.62%,4.39%,Tier 1
CR252,An Studio 59,Ẩm thực,13182,53,13.84%,1498,7.70%,23.19%,Tier 3
CR253,Nam Tech 59,Công nghệ,26275,37,8.01%,4800,9.91%,23.77%,Tier 3
CR254,Trang Vlog 46,Du lịch & Đời sống,32622,49,12.14%,5841,1.72%,16.31%,Tier 3
CR255,Kiều Tv 73,Ẩm thực,95617,72,-1.49%,12290,8.43%,3.49%,Tier 2
CR256,Kiều Food 42,Giáo dục & Kiến thức,49077,17,20.26%,12219,6.83%,21.73%,Tier 3
CR257,Kiên Makeup 87,Giải trí,72513,71,19.58%,22660,6.76%,12.60%,Tier 2
CR258,An Food 56,Giải trí,29983,16,17.59%,5565,2.86%,19.29%,Tier 3
CR259,Bình Studio 64,Thời trang & Làm đẹp,3180573,12,1.56%,598330,3.91%,21.25%,Tier 2
CR260,Tuấn Tv 49,Du lịch & Đời sống,30913,51,4.12%,2262,2.77%,2.97%,Tier 3
CR261,Nam Official 95,Công nghệ,45790,60,20.88%,12818,2.39%,29.01%,Tier 3
CR262,Linh Tech 96,Công nghệ,920034,9,12.77%,270936,1.31%,14.62%,Tier 2
